Topic,Definition,Tags,Departments
&#34;10 Questions&#34;,,event,news
8-clap,,,
Academic Senate,,,
academic years,"<p>When referring to the academic year that begins in fall 2016 and ends in spring 2017, use 2016-2017.</p>",,"news, arts, opinion"
accent marks,"<p>Use accent marks for proper nouns such as Bruin Café or Beyoncé. Do not use an accent mark in general uses of words such as cafe, naivete, facade.</p>",,
Ackerman Union,,,
Acosta Training Center,,,
actor names in reviews,"for reviews only, after we introduce a character, we put the name of the actor who plays them in parenthesis","actor name, review",arts
admissions,,"school, admission, admissions","news, opinion"
"African American studies, Asian American studies",<p>Do not hyphenate if referring to the major.</p>,,
All-Freshman Team,,,sports
Anaheim,<p>The city in California stands alone in Daily Bruin stories.</p>,,
Arthur Ashe Student Health and Wellness Center,"<p>Arthur Ashe Student Health and Wellness Center on first reference. On subsequent references and in headlines, Ashe Center or student health and wellness center is acceptable.</p>",,
Associated Students UCLA,<p>Associated Students UCLA on first reference. ASUCLA is acceptable on subsequent references.</p>,,
at UCLA,"<p>If a club or organization name has at UCLA as part of its official name, state it on first reference.</p>",,
Bakersfield,<p>The city in California stands alone in Daily Bruin stories.</p>,,
"Baseball, softball","<p><b>Positions</b></p><p><ul><li>C - Catcher (2)</li><li>Infielders</li><ul><li>1B - First baseman (3)</li><li>2B - Second baseman (4)</li><li>SS - Shortstop (6)</li><li>3B - Third baseman (5)</li></ul><li>Outfield</li><ul><li>LF - Left fielder (7)</li><li>CF - Center fielder (8)</li><li>RF - Right fielder (9)</li><li>DH - Designated hitter</li><li>DP - Designated player (Softball only)</li></ul><li>P - Pitcher (1)</li><ul><li>SP - Starting pitcher</li><li>RP - Relief pitcher</li><li>Set-up man<li>Closer</li></ul><li>Leadoff hitter - the first hitter</li></ul></p><p><p>In a baseball/softball story, you might see a reference to a 4-6-3 double play (or some other numbers), this means the play went from the second baseman (4) to the shortstop (6) to the first baseman (3)</p><p><b>Stats</b></p><p>Batting:</p><p><ul><li>AB - At-bats (Word), when a hitter goes to bat and gets either a hit or is out. Walks and hits by pitch do not count for at-bats<li>PA - Plate appearance, when a hitter goes to bat. (At-bats+walks+hits by pitch)<li>H - Hits (Word), when a hitter reaches base after hitting the ball.</li><li>R - Runs (word)<li>RBIs - Runs batted in (word), the runs a batter’s hit results in being scored.</li><li>BB - Walks, when a hitter reaches base after four balls<li>K/SO - Strikeouts, when a hitter is out after three strikes.</li><li>Full count - when a batter in a 3-2 counts (3 balls, 2 strikes<li>LOB - Runner stranded on base<li>RISP - Runner in scoring position, when a runner is on second or third base.</li><li>HR - Home run (Word), when a batter hits the ball out of the park<li>Solo home run - a home run where one person scores<li>S - Steal.</li><li>HBP - Hit by pitch, when a batter is hit by a pitch and and advances to first base. One of the few terms in baseball which exactly what it sounds like.</li><li>BA/AVG - Batting average (H/AB)</li><ul><li>A batting average above .300 is very good<li>A batting average between .200 and .300 is some level between passable and good.</li><li>A batting average below .200 is bad and probably means hitting baseballs is something you’re bad at.</li></ul><li>OBP - On-base percentage (H+BB+HBP)/(AB+BB+HBP+Sacrifice flys)</li><li>SLG - Slugging percentage (Singles + (Doubles*2) + (Triples*3) + (Home Runs*4) / AB)<li>OPS: On-base plug slugging (SLG% + OB%)</li><li>.XXX/.YYY/.ZZZ - The triple slash (BA/OBP/SLG)</li><li>Single - advances to first base<li>Double - advances to second base</li><li>Triple - advances to third base<li>Sac fly - Sacrifice fly, when a hitter ‘sacrifices himself’ so another runner can advance to another base<li>Extra-base hits - doubles, triples, and home runs</li><li>Sac bunt</li></ul></p><p>Pitching:</p><p><ul><li>IP - Innings pitched (use style of 1 1/3 , not 1.1)</li><li>Baseball is divided into nine innings (also referred to as frames) and softball is divided into seven. In each inning, except sometimes the ninth, each team bats and pitches once. Each 1/3 of an inning represents one batter getting out. Three outs ends an inning.</li><li>W-L - Wins-losses record for pitchers. The pitcher who is pitching when the winning run is scored gets the win/loss.</li><li>No decision - When a pitcher pitches, but does not receive a win or loss.</li><li>R - Runs</li><li>ER - Earned runs (not the same as runs, is when a run is scored by a hitter who reached on base not off an error)</li><li>BB - Walks. When a pitcher throws four balls.</li><li>K/SO - Strikeouts. When a pitcher throws three strikes.</li><li>WP - Wild pitch</li><li>BK - Balk</li><li>HBP - Hit by pitch</li><li>IBB - Intentional walk</li><li>BF - Batters faced</li><li>NP - Number of pitches</li><li>H - Hold</li><li>S/SV - Save. A save is a bit complicated, so here is a nice link.</li><li>ERA - Earned run average (ER / IP * 9). The lower, the better.</li><ul><li>An ERA below 2 is rare, while an ERA above 5 is concerning</li></ul><li>WHIP - Walks plus hits per inning pitched ([BB+H]/IP). The lower, the better.</li><li>Complete game - when a pitcher pitches the entire game. Relatively rare.</li><li>No-hitter - when a pitcher does not allow a hit for an entire game. Rare.</li><li>Perfect game - when a pitcher does not allow a man on base for an entire game. Very rare.</li></ul></p><p>Fielding:</p><p><ul><li>Outs - there are three outs in each inning.</li><li>Ground out</li><li>Strikeout</li><li>Fly out</li><li>Sac fly</li></ul></p><p><b>Common Terminology</b></p><p><ul><li>UCLA plays in the Pac-12, which is baseball only has 11 teams and in softball, 9 teams:</li><ul><li>UCLA<li>USC (no softball team)</li><li>Utah</li><li>Arizona</li><li>Arizona State</li><li>Washington</li><li>Washington State (no softball team)</li><li>Oregon</li><li>Oregon State</li><li>Stanford</li><li>California</li></ul><li>The college baseball postseason consists of the Pac-12 tournament and NCAA tournament, which ends with the College World Series. The college softball postseason consists of the same tournaments, though the final round is called the Women’s College World Series.</li><li>Unlike other sports, the baseball and softball NCAA tournaments are double elimination, meaning a team needs to lose two games to be eliminated, not one.</li><li>In both baseball and softball, seasons are divided into series, sets of three or four games between the same teams. Winning a series means winning a majority of these games. Sweeping a series means winning all of them.</li></ul></p><p><b>Rankings</b></p><p>The Daily Bruin uses the D1Baseball.com rankings. Another commonly referenced ranking is the Rating Percentage Index (RPI) rankings.</p>","baseball, softball",sports
basketball,"<p><b>Stats:</b></p><p><ul><li>MIN - Minutes</li><li>In college basketball, games are 40 minutes</li><li>FGA - Field goal attempts (includes 3-point shots)</li><li>FGM - Field goals made</li><li>FG - Field goals, any shot which a free throw</li><li>FG&#37; - Field goal percentage (FGM/FGA)</li><li>3PT - 3-point shots</li><li>A 3PT&#37; above 40 is very good and a 3PT&#37; below 33 is bad. Shots from the 3-point line are described as “beyond the arc”</li><li>FT - Free throw (the free throw line is sometime referred to as the charity stripe)</li><li>FT% - Free throw percentage</li><li>OREB/ORB - Offensive rebounds</li><li>DREB/DRB - Defensive rebounds</li><li>REB/TOT - Rebounds (offensive rebounds &#43; defensive rebounds)</li><li>PF - Personal fouls (if you get five fouls you foul out, if you get one or two, you’re in foul trouble)</li><li>A/AST - Assists</li><li>TO - Turnovers</li><li>BLK - Blocks</li><li>STL - Steals</li><li>PTS - Points</li><li>2ndChPts - Second chance points</li><li>PtsPaint - points in the paint</li><li>eFG&#37; - Effective field goal percentage (FGM &#43; (0.5*3PT made) / FGA)</li><li>Triple-double - When a player gets 10&#43; in three stats other than turnovers or fouls (typically points, rebounds, and assists)</li><li>Double-double - When a player gets 10&#43; in two stats other than turnovers or fouls</li><li>Five-by-five - When a player gets 5&#43; in at least five stats other than turnovers or fouls</li><li>Fast break - when a team attempts to move the ball up court and into scoring position as quickly as possible</li><li>The paint - the painted area of the basketball court near the basket</li><li>Free throw line - not hyphenated</li><li>3s - 3 pointers are written as numerals</li></ul></p><p><b>Positions:</b></p><p><ul><li>Guards</li><li>PG/1 - Point guard</li><li>SG/2 - Shooting guards</li><li>Forwards</li><li>SF/3 - Small forwards</li><li>PF/4 - Power forwards</li><li>C/5 - Center</li><li>Wings: Shooting guards and small forwards</li><li>Big man: Centers and occasionally power forwards</li></ul></p><p><b>Common terminology:</b></p><p><ul><li>UCLA plays in the Pacific-12 Conference. Teams in the Pac-12 include:</li><ul><li>California</li><li>Stanford</li><li>USC</li><li>UCLA</li><li>Arizona (In men’s basketball, Arizona and UCLA are traditionally the two best teams in the Pac-12 and have an intense rivalry.)</li><li>Arizona State</li><li>Colorado</li><li>Utah</li><li>Washington</li><li>Washington State</li><li>Oregon</li><li>Oregon State</li></ul></ul></p><p>UCLA is considered a mens college basketball blue blood, meaning that historically it is one of the best programs in the country. The other blue bloods typically include Duke, North Carolina, Indiana, Kentucky and Kansas.</p><p>There is currently a massive FBI investigation into men’s college basketball.</p><p>Each Pac-12 team plays 18 conference games, along with about 12 out-of-conferences games every year.</p><p>The postseason of college basketball includes the Pac-12 tournament, which consists of every team in the Pac-12 competing for an automatic bid to the NCAA tournament, which is the final competition. If a team does not win an automatic bid, it can still get an at-large bid. The NCAA tournament is more commonly known as March Madness.</p><p>Rankings: The Daily Bruin uses the AP Poll for both mens and womens basketball. Other commonly referenced rankings in DB stories are KenPom.coms rankings and the NCAA NET ratings.</p>",basketball,sports
BearWear,,"news, bear wear",news
Berkeley,<p>The city in California stands alone in Daily Bruin stories.</p>,,
Beverly Hills,<p>The city in California stands alone in Daily Bruin stories.</p>,,
Big Blue Bus,<p>Use Santa Monica Big Blue Bus on first reference. Big Blue Bus can be used on second reference.</p>,,
Billy Wilder Theater,"<p>Billy Wilder Theater on first reference. On subsequent references, theater is acceptable.</p>",,
Biomedical Sciences Research Building,,,
"board of directors, board of trustees",<p>Always lowercase.</p>,ap style,news
Boelter Hall,,,
"Bombshelter, Court of Sciences Student Center","<p>Court of Sciences Student Center somewhere in the body of the story to refer to the building. Bombshelter OK on other references, headlines, and in quotes.</p>",,
BookZone,,book,
Botany Building,,,
Boyer Hall,,,
Bradley International Hall,,,
Broad Art Center,,,
Bruin Café,<p>Include an accent mark per the &quot;accent marks&quot; entry. Do not abbreviate <em>BCafe</em>.</p>,restaurant,news
Bruin Day,,,
Bruin Film Society,<p>BFS on second reference.</p>,,"news, arts"
Bruin Health Pharmacy,,,
Bruin Plate,B Plate on second reference,dining hall,
Bruin Plaza,,,
Bruin Walk,<p>Use to describe the physical location.</p>,bruinwalk,news
BruinAlert,,,
BruinCard,,,
BruinCare,,,
Bruintized,,,
Bruinwalk,"<p>When referring to the professor review website, use &quot;Bruinwalk&quot; For the physical location on campus, see the Bruin Walk entry.</p>",,
Bunche Hall,,,
Burbank,<p>The city in California stands alone in Daily Bruin stories.</p>,,
Café 1919,<p>Include an accent mark per the &quot;accent marks&quot; entry.</p>,restaurant,news
California cities,"<p>The following cities in California stand alone:</p><p><ul><li>Anaheim</li><li>Bakersfield</li><li>Berkeley</li><li>Beverly Hills</li><li>Burbank</li><li>Culver City</li><li>Davis</li><li>Fresno</li><li>Glendale</li><li>Irvine</li><li>Malibu</li><li>Marina del Rey</li><li>Merced</li><li>Oakland</li><li>Pasadena</li><li>Riverside</li><li>Sacramento</li><li>Santa Barbara</li><li>San Bernardino</li><li>Santa Cruz</li><li>Santa Monica</li><li>West Hollywood</li></ul></p><p>In stories about football, <em>Pasadena</em> also stands alone. Per the AP Stylebook, <em>Los Angeles</em>, <em>San Francisco</em> and <em>San Diego</em> already stand alone.</p>","berkeley, cal, beverly hills, irvine, davis, merved, riverside, sacramento, santa barbara, santa cruz, santa monica, pasadena, los angeles, la, san francisco, san diego","arts, news, opinion, sports"
Campbell Hall,,,
campus buildings,"<p>For buildings and locations that do not appear here, refer to UCLA’s website and include just the last name of the individual whom the building or location is named after.</p><p>For professional schools and relevant buildings, on first reference, use the formal name in headline case: Anderson School of Management. On subsequent references, use School of Management or management school.</p><p>Similarly, use Terasaki Life Sciences Building on first reference. On second and subsequent reference, life sciences building is acceptable.For the names of centers, on second reference capitalize Center only if it follows a proper noun:</p><p><ul><li>Gonda Center<li>Ashe Center<li>alumni center</ul></p><p>The exception is for Ronald Reagan UCLA Medical Center, which should never be abbreviated. On second and subsequent references, use the medical center or the hospital.</p>","campus buildings, center, professional schools",news
Campus Queries,"<p>Set the Q&A part off from the italicized blurb at the beginning and bold the Q and A. In Campus Queries, you should get a flag above the headline, the headline should be a question, and the question and answers should be justified.</p><p><em>Campus Queries is a series in which Daily Bruin readers and staff present science-related questions for UCLA professors and experts to answer.</em></p><p>enter here</p><p><b>Q:</b> What are deepfakes?</p><p><b>A:</b> Deepfake videos transform a recording of someone into artificial scenarios that never actually occurred using machine learning algorithms.</p>",,
campus room numbers,"<p>Use the abbreviated form for rooms in campus buildings: <em>Math Sciences 4210</em>, not <em>Math Sciences Building, Room 4210.</em></p>","buildings, room numbers",news
Canyon Point,,,
Capitol Records Building,,,
Carnesdale Commons,,,
catch-and-run,<p>hyphenate as a noun</p>,,sports
CCLE,<p>Short for Common Collaborative Learning Environment. Use CCLE on all references.</p>,,
Center for Health Sciences,,,
"championship, tournament",lowercase the c in championship and do not use championships unless referring to multiple championships,"NCAA, Pac-12",sports
Charles E. Young Research Library,"<p>Charles E. Young Research Library on first reference. For subsequent references, Young Research Library is acceptable.</p>",,
Chicana/o and Central American studies,refer to the major in this way rather than the way the website does,"chicana, chicano, chicana/o studies",
city of Los Angeles,<p>with lowercase city</p>,,
colons,"<p>Names of events or organizations with a colon should be given in full on first reference. On subsequent references, you can drop the portion after the colon. Ex: All of Us: A Campaign to Rethink Mental Health.</p>",,
common book,,,
communication,"<p>The major is communication, not communication studies; e.g. Mackenzie Possee, a third-year communication student.</p>",,
Community Programs Office,<p>CPO is acceptable on second reference.</p>,,
comprises,should be <i>comprises</i> or <i>composed of</i> not <i>comprised of</i>.,,
CONCACAF,"<p>Say CONCACAF, but at some point in the story state that it is the professional soccer governing body in North and Central America and the Caribbean.</p>",soccer,sports
contributing reports,"<p>Contributing reports should be at the end of the story online and be stylized in italics.</p><p><em>Contributing reports from Joe Bruin, Daily Bruin senior staff.</em></p><p>In print, contributing reports should be stylized as <em>Contributing reports from Tommy Trojan, Daily Bruin senior staff. Email Bruin at jbruin&#64;dailybruin.com or tweet&#64;jbruinDB.</em></p>","taglines, bylines","arts, news, opinion"
"council member, councilmember","When referring to a general member of a council, the two-word construction works. For formal titles, use the gender-neutral one-word construction as in &#34;Councilmember Paul Koretz&#34; to follow the stated formal titles which can be found on all of the websites of the council members. Treat &#34;assembly member&#34; and &#34;Assemblymember&#34; similarly.","council member, councilmember","arts, news, opinion"
course titles,"The subject and course number should be followed by a colon and the course name in quotes&#58; Political Science 10: &#34;Introduction to Political Theory.&#34; Use numerals for the course number.; on second reference use the subject and the course number, ex: Political Science 10",class names,
Court of Sciences,,,
Court of Sciences Student Center,,,
Courtside,,,
Covel Commons,,,
Covel Commons Grand Horizon Ballroom,,,
Covel Commons Residential Restaurant,Covel dining hall or just Covel second reference if clear you&#8217;re referring to dining hall,dining hall,
crimewatch,"in standalone crimewatch graphic, keep the title as one word",city and crime,news
cross country,Note that there is no hyphen. This is an exception to AP Stylebook but in accordance with the governing bodies of the sport.,,
CSU schools,"Spell out California State University and with the specific schools add the schools after on first reference; ex: California State University, Chico on first reference",california state university,
Culver City,The city in California stands alone in Daily Bruin stories.,,
Culver CityBus,,,
Daily Bruin,Do not use quotations or italics. The Bruin is acceptable on second reference. e.g. We work many hours at The Bruin.,,
Daily Bruin and Bruinwalk Referendum,,,
Daily Bruin Editorial Board,Use editorial board when standing alone: <em>The editorial board called upon the union to not prolong contract negotiations.</em>,"edi board, editorial","news, opinion"
Daily Bruin staff titles,<p><b>Upper</b></p><p><ul><li>Editor in chief</li><li>Managing editor</li><li>Digital Managing editor</li></ul></p><p><b>Arts</b></p><p><ul><li>Arts editor</li><li>Theater | film | television</li><li>Music | fine arts</li><li> Lifestyle</li></ul></p><p><b>Blogging</b></p><p><ul><li>Blogging editor</li><li>assistant Blogging editor</li></ul></p><p><b>Copy</b></p><p><ul><li>Copy chief</li><li>assistant Copy chief</li><li>Slot editor</li></ul></p><p><b>Design</b></p><p><ul><li>Design director</li><li>assistant Design director</li></ul></p><p><b>Enterprise</b></p><p><ul><li>Enterprise production editor</li><li>Enterprise content editor</li></ul></p><p><b>Graphics</b></p><p><ul><li>Graphics editor</li><li>assistant Graphics editor</li></ul></p><p><b>Illustrations</b></p><p><ul><li>Illustrations director</li></ul></p><p><b>News</b></p><p><ul><li>News editor</li><li>Campus politics editor</li><li>Science and health editor</li><li>National news and higher education editor</li><li>City and crime editor</li><li>Features and student life</li></ul></p><b>Online</b></p><p><ul><li>Online director</li><li>Internal tools director</li><li>Main site director</li><li>Stack editor</li><li>External sites director</li><li>Bruinwalk director</li><li>assistant Bruinwalk director</li></ul></p><p><b>Opinion</b></p><p><ul><li>Opinion editor</li><li>assistant Opinion editor</li><li>Opinion columnist</li></ul></p><p><b>Photo</b></p><p><ul><li>Photo editor</li><li>assistant Photo editor</li></ul></p><p><b>PRIME</b></p><p><ul><li>PRIME director</li><li>PRIME art director</li><li>PRIME content editor</li></ul></p><p><b>Social</b></p><p><ul><li>Social Media director</li></ul></p><p><b>Sports</b></p><p><ul><li>Sports editor</li><li>assistant Sports editor</li></ul></p><p><b>Video</b></p><p><ul><li>Video producer</li><li>assistant Video producer</li></ul></p><p>Senior staff: For people who used to be editors or for editors contributing to other sections.</p><p>Staff/reporter/contributor: Decided by sections</p>,"columnist, staff, senior staff, editor, director, contributor, assistant, top, upper, arts, blogging, photo, copdy, enterprise, illo, news, online, opinion, design, video, social, sports, graphics","arts, news, opinion, sports"
David Geffen School of Medicine,"David Geffen School of Medicine on first reference. On subsequent references, School of Medicine is acceptable.",campus buildings,
Davies Children&#146;s Health Center,"Davies Children&#146;s Health Center on first reference. For subsequent references, either Davies Center or children&#146;s health center is acceptable.",campus buildings,
Davis,The city in California stands alone in Daily Bruin stories.,,
De Neve Auditorium,this is a room not a building,,
De Neve Commons,,,
De Neve Late Night,,,
De Neve Plaza,,,
De Neve residence halls,"On first reference, refer to the residences in De Neve Plaza as <p><ul><li>De Neve Acacia</li><li>De Neve Birch</li><li>De Neve Cedar</li><li>De Neve Dogwood</li><li>De Neve Evergreen</li><li>De Neve Fir</li><li>De Neve Gardenia</li><li>De Neve Holly</li></ul></p><p>Refer to just the tree name on second reference (e.g. Acacia, Birch, etc.).</p>","de neve plaza, de neve acacia, de neve birch, de neve cedar, de neve dogwood, de neve evergreen, de neve fir, de neve gardenia, de neve holly",
De Neve Residential Restaurant,De Neve dining hall or just De Neve second reference clear you&#8217;re referring to dining hall,dining hall,
Delta Terrace,,,
Dickson Plaza,,,
dining hall,"Do not capitalize, even when referring to a particular dining hall&#58; De Neve dining hall, Covel dining hall.","Covel, De Neve, Rendesvous, feast, rieber, cafe 1919, bruin cafe, the study at hedrick",
Dodd Hall,,,
Dodger Stadium,,,
double majors,List in alphabetical order,,
draft,"for all sports drafts, capitalize the D. ex: NBA draft",,sports
Drake Stadium,,,
